service_id,hostname
chatgpt,chatgpt.com
chatgpt,files.oaiusercontent.com
claude,anthropic.com
gemini,ai.google.dev
microsoft_copilot,copilot.cloud.microsoft
github_copilot,copilot-proxy.githubusercontent.com
grok,grok.com
perplexity,perplexity.ai
midjourney,midjourney.com
fitbit,api.fitbit.com
google_apps,datastudio.google.com
spotify,scdn.co
xbox,auth.xboxlive.com
adobe,adobe.io
amd,amd.com
canva,canva-apps.com
autodesk,autodesk.com
badoo,badoo.app
basecamp,37signals.com
brave,brave.com
chess,chess.com
cici,cici.com
clickup,clickup.com
codeium,codeium.com
context7,context7.com
context7,mcp.context7.com
deepl,deepl.app
deezer,deezer.com
dell,dell.com
designify,designify.com
dola,dola.com
dyson,dyson.com
elevenlabs,elevenlabs.io
elgato,elgato.com
flowmusic,flowmusic.app
fmhy,fmhy.net
framer,framer.com
guidedhacking,guidedhacking.com
guilded,guilded.gg
intel,intel.com
jetbrains,api.jetbrains.ai
kaleido,kaleido.ai
lastfm,last.fm
linear,linear.app
make,make.com
manus,files.manuscdn.com
meta_ai,meta.ai
mongodb,mongodb.com
naukri,naukimg.com
notion,notion.com
nvidia,developer.nvidia.com
oracle,oracle.com
parsec,builds.parsec.app
pump_fun,pump.fun
qualtrics,qualtrics.com
qwant,qwant.com
remove_bg,remove.bg
reve,reve.art
sketchup,sketchup.com
strava,strava.com
tableau,tableau.com
teamviewer,dl.teamviewer.com
trae,api-sg-central.trae.ai
truthsocial,truthsocial.com
tria,tria.ge
twitch,gql.twitch.tv
tuta,tuta.com
unscreen,unscreen.com
weather,weather.com
wbgames,wbagora.com
web_archive,web.archive.org
windsurf,windsurf.com
xerox,xerox.com
zapier,zapier-deployment.com
openai_shared,oaistatic.com
google_shared,accounts.google.com
cdn_shared,badoocdn.com
microsoft_shared,d.docs.live.net
xbox_shared,auth.xboxlive.com
developer_infrastructure,aisandbox-pa.googleapis.com
misc_experimental,crixet.com
